ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,SEGMENT,COUNTRY,CITY,STATE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PROFIT,NET_SALES
2019-01-28,2019-02-03,STANDARD CLASS,JC-15340,CONSUMER,USA,NEW YORK CITY,NY,EAST,OFF-BI-10000343,OFFICE SUPPLIES,BINDERS,"PRESSBOARD COVERS WITH STORAGE HOOKS, 9 1/2"" X 11"", LIGHT BLUE",1.3257,3.1424000000000003
2019-01-30,2019-02-04,STANDARD CLASS,MV-18190,CONSUMER,USA,DETROIT,MI,CENTRAL,OFF-ST-10000991,OFFICE SUPPLIES,STORAGE,SPACE SOLUTIONS HD INDUSTRIAL STEEL SHELVING.,6.8982,459.88
2019-01-31,2019-02-02,FIRST CLASS,LC-17050,CONSUMER,USA,MISSION VIEJO,CA,WEST,FUR-BO-10003966,FURNITURE,BOOKCASES,"SAUDER FACETS COLLECTION LIBRARY, SKY ALDER FINISH",3.4196,494.13219999999995
2019-02-01,2019-02-03,FIRST CLASS,BD-11500,CONSUMER,USA,GREEN BAY,WI,CENTRAL,TEC-AC-10001432,TECHNOLOGY,ACCESSORIES,ENERMAX AURORA LITE KEYBOARD,206.316,2813.3999999999996
2019-02-02,2019-02-09,STANDARD CLASS,EB-13930,CONSUMER,USA,SAINT PETERSBURG,FL,SOUTH,OFF-BI-10000666,OFFICE SUPPLIES,BINDERS,SURELOCK POST BINDERS,-12.224,11.001600000000002
2019-02-02,2019-02-06,STANDARD CLASS,CD-12790,HOME OFFICE,USA,SAN DIEGO,CA,WEST,OFF-FA-10001843,OFFICE SUPPLIES,FASTENERS,STAPLES,5.8045,61.75
2019-02-03,2019-02-06,SECOND CLASS,TB-21400,CONSUMER,USA,SEATTLE,WA,WEST,OFF-BI-10002827,OFFICE SUPPLIES,BINDERS,AVERY DURABLE POLY BINDERS,4.3134,31.852800000000002
2019-02-04,2019-02-08,STANDARD CLASS,DB-13270,HOME OFFICE,USA,SAN DIEGO,CA,WEST,OFF-BI-10004230,OFFICE SUPPLIES,BINDERS,GBC RECYCLED GRAIN TEXTURED COVERS,29.0136,198.9504
2019-02-04,2019-02-08,SECOND CLASS,MH-17440,CORPORATE,USA,ESCONDIDO,CA,WEST,OFF-BI-10003676,OFFICE SUPPLIES,BINDERS,"GBC STANDARD RECYCLED REPORT COVERS, CLEAR PLASTIC SHEETS",6.0368,27.5968
2019-02-06,2019-02-09,FIRST CLASS,ND-18460,CORPORATE,USA,CHESAPEAKE,VA,SOUTH,TEC-PH-10001615,TECHNOLOGY,PHONES,AT&T CL82213,42.0355,724.75
2019-02-06,2019-02-10,SECOND CLASS,DL-13315,CONSUMER,USA,ROMEOVILLE,IL,CENTRAL,OFF-BI-10001196,OFFICE SUPPLIES,BINDERS,"AVERY FLIP-CHART EASEL BINDER, BLACK",-14.7708,3.580799999999999
2019-02-07,2019-02-12,STANDARD CLASS,CK-12760,CORPORATE,USA,LINDEN,NJ,EAST,TEC-AC-10000710,TECHNOLOGY,ACCESSORIES,MAXELL DVD-RAM DISCS,49.6048,807.52
2019-02-07,2019-02-10,SECOND CLASS,CS-12250,CORPORATE,USA,NEW YORK CITY,NY,EAST,OFF-ST-10001558,OFFICE SUPPLIES,STORAGE,ACCO PERMA 4000 STACKING STORAGE DRAWERS,9.744,259.84
2019-02-08,2019-02-09,FIRST CLASS,NM-18445,HOME OFFICE,USA,NORTH LAS VEGAS,NV,WEST,FUR-FU-10002111,FURNITURE,FURNISHINGS,"MASTER CASTER DOOR STOP, LARGE BROWN",5.5328,29.12
2019-02-11,2019-02-15,SECOND CLASS,GA-14725,CONSUMER,USA,COLUMBIA,MO,CENTRAL,OFF-ST-10002583,OFFICE SUPPLIES,STORAGE,FELLOWES NEAT IDEAS STORAGE CUBES,2.5984,129.92
2019-02-11,2019-02-15,STANDARD CLASS,NF-18385,CONSUMER,USA,CHESAPEAKE,VA,SOUTH,OFF-BI-10003291,OFFICE SUPPLIES,BINDERS,WILSON JONES LEATHER-LIKE BINDERS WITH DUBLLOCK ROUND RINGS,8.2062,34.92
2019-02-12,2019-02-18,STANDARD CLASS,SC-20095,CONSUMER,USA,CONCORD,CA,WEST,FUR-CH-10000225,FURNITURE,CHAIRS,"GLOBAL GEO OFFICE TASK CHAIR, GRAY",-24.294,207.30880000000002
2019-02-14,2019-02-18,STANDARD CLASS,ML-17395,CORPORATE,USA,SEATTLE,WA,WEST,OFF-SU-10000157,OFFICE SUPPLIES,SUPPLIES,COMPACT AUTOMATIC ELECTRIC LETTER OPENER,4.7724,477.24
2019-02-14,2019-02-19,SECOND CLASS,ST-20530,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-PA-10000466,OFFICE SUPPLIES,PAPER,"MEMO BOOK, 100 MESSAGE CAPACITY, 5 3/8” X 11”",6.066,38.822399999999995
2019-02-15,2019-02-19,STANDARD CLASS,BF-11020,CORPORATE,USA,SEATTLE,WA,WEST,OFF-BI-10001031,OFFICE SUPPLIES,BINDERS,PRESSBOARD DATA BINDERS BY WILSON JONES,7.209,85.44
2019-02-16,2019-02-21,STANDARD CLASS,MN-17935,CONSUMER,USA,DALLAS,TX,CENTRAL,OFF-BI-10002012,OFFICE SUPPLIES,BINDERS,WILSON JONES EASY FLOW II SHEET LIFTERS,-1.728,0.6479999999999999
2019-02-17,2019-02-24,STANDARD CLASS,DL-13315,CONSUMER,USA,CHICAGO,IL,CENTRAL,OFF-AR-10003631,OFFICE SUPPLIES,ART,STAPLES IN MISC. COLORS,8.8088,607.1296000000001
2019-02-18,2019-02-24,STANDARD CLASS,AB-10015,CONSUMER,USA,ARLINGTON,TX,CENTRAL,OFF-ST-10000321,OFFICE SUPPLIES,STORAGE,AKRO STACKING BINS,-2.5248,20.198400000000003
2019-02-18,2019-02-18,SAME DAY,TB-21595,CONSUMER,USA,LUBBOCK,TX,CENTRAL,FUR-FU-10002396,FURNITURE,FURNISHINGS,"DAX COPPER PANEL DOCUMENT FRAME, 5 X 7 SIZE",-11.322,50.32
2019-02-20,2019-02-26,STANDARD CLASS,LC-16930,CORPORATE,USA,RICHMOND,IN,CENTRAL,TEC-AC-10001284,TECHNOLOGY,ACCESSORIES,ENERMAX BRISKIE RF WIRELESS KEYBOARD AND MOUSE COMBO,22.4316,186.93
2019-02-20,2019-02-24,STANDARD CLASS,SR-20740,HOME OFFICE,USA,LOS ANGELES,CA,WEST,OFF-PA-10003363,OFFICE SUPPLIES,PAPER,XEROX 204,6.2208,25.92
2019-02-21,2019-02-25,STANDARD CLASS,TM-21010,CONSUMER,USA,WOODSTOCK,IL,CENTRAL,OFF-BI-10004094,OFFICE SUPPLIES,BINDERS,GBC STANDARD PLASTIC BINDING SYSTEMS COMBS,-13.7175,8.849999999999998
2019-02-22,2019-02-24,FIRST CLASS,SA-20830,CONSUMER,USA,MORENO VALLEY,CA,WEST,OFF-PA-10001800,OFFICE SUPPLIES,PAPER,XEROX 220,9.3312,58.32000000000001
2019-02-23,2019-02-27,STANDARD CLASS,MG-17875,HOME OFFICE,USA,EL PASO,TX,CENTRAL,OFF-LA-10004425,OFFICE SUPPLIES,LABELS,STAPLE-ON LABELS,2.3409,16.6464
2019-02-24,2019-03-02,STANDARD CLASS,JH-15430,CONSUMER,USA,MEDFORD,OR,WEST,OFF-PA-10000174,OFFICE SUPPLIES,PAPER,"MESSAGE BOOK, WIREBOUND, FOUR 5 1/2"" X 4"" FORMS/PG., 200 DUPL. SETS/BOOK",11.1024,105.2672
2019-02-27,2019-03-03,FIRST CLASS,JS-16030,CONSUMER,USA,COLUMBUS,OH,EAST,OFF-AR-10003560,OFFICE SUPPLIES,ART,ZEBRA ZAZZLE FLUORESCENT HIGHLIGHTERS,3.4048,62.2592
2019-03-01,2019-03-05,STANDARD CLASS,VF-21715,HOME OFFICE,USA,ELMHURST,IL,CENTRAL,FUR-CH-10000863,FURNITURE,CHAIRS,NOVIMEX SWIVEL FABRIC TASK CHAIR,-172.1172,2663.2871999999998
2019-03-01,2019-03-06,SECOND CLASS,DB-13060,CONSUMER,USA,SEATTLE,WA,WEST,FUR-CH-10004063,FURNITURE,CHAIRS,GLOBAL DELUXE HIGH-BACK MANAGER'S CHAIR,51.4764,732.1088
2019-03-01,2019-03-05,STANDARD CLASS,SC-20380,CONSUMER,USA,EL PASO,TX,CENTRAL,FUR-CH-10001270,FURNITURE,CHAIRS,HARBOUR CREATIONS STEEL FOLDING CHAIR,0.0,1521.4499999999998
2019-03-01,2019-03-05,STANDARD CLASS,HR-14770,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,TEC-PH-10003655,TECHNOLOGY,PHONES,SANNYSIS CUTE OWL DESIGN SOFT SKIN CASE COVER FOR SAMSUNG GALAXY S4,1.6038,17.82
2019-03-01,2019-03-07,STANDARD CLASS,GW-14605,CONSUMER,USA,HOUSTON,TX,CENTRAL,FUR-TA-10001866,FURNITURE,TABLES,BEVIS ROUND CONFERENCE ROOM TABLES AND BASES,-43.0296,790.6689
2019-03-02,2019-03-08,STANDARD CLASS,KN-16705,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,OFF-PA-10000587,OFFICE SUPPLIES,PAPER,"ARRAY PARCHMENT PAPER, ASSORTED COLORS",17.472,182.0
2019-03-02,2019-03-06,STANDARD CLASS,NH-18610,CORPORATE,USA,PHILADELPHIA,PA,EAST,TEC-AC-10004353,TECHNOLOGY,ACCESSORIES,HYPERCOM P1300 PINPAD,32.13,362.88
2019-03-03,2019-03-07,SECOND CLASS,AJ-10945,CONSUMER,USA,WILMINGTON,NC,SOUTH,OFF-AR-10003560,OFFICE SUPPLIES,ART,ZEBRA ZAZZLE FLUORESCENT HIGHLIGHTERS,3.4048,62.2592
2019-03-03,2019-03-08,STANDARD CLASS,JS-15595,CORPORATE,USA,COLUMBUS,OH,EAST,FUR-BO-10001972,FURNITURE,BOOKCASES,O'SULLIVAN 4-SHELF BOOKCASE IN ODESSA PINE,-199.617,756.125
2019-03-03,2019-03-07,STANDARD CLASS,SC-20020,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-AP-10002534,OFFICE SUPPLIES,APPLIANCES,3.6 CUBIC FOOT COUNTER HEIGHT OFFICE REFRIGERATOR,-459.6072,106.06319999999998
2019-03-03,2019-03-07,STANDARD CLASS,EJ-14155,CONSUMER,USA,SAN DIEGO,CA,WEST,FUR-TA-10002958,FURNITURE,TABLES,"BEVIS OVAL CONFERENCE TABLE, WALNUT",-23.4882,1503.2448000000002
2019-03-03,2019-03-08,STANDARD CLASS,AP-10720,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,TEC-PH-10004700,TECHNOLOGY,PHONES,POWERGEN DUAL USB CAR CHARGER,4.5954,9.99
2019-03-04,2019-03-09,STANDARD CLASS,SC-20095,CONSUMER,USA,MARGATE,FL,SOUTH,OFF-AR-10001374,OFFICE SUPPLIES,ART,"BIC BRITE LINER HIGHLIGHTERS, CHISEL TIP",2.3328,37.3248
2019-03-04,2019-03-04,SAME DAY,CL-12565,CONSUMER,USA,COLUMBIA,SC,SOUTH,OFF-ST-10001370,OFFICE SUPPLIES,STORAGE,SENSIBLE STORAGE WIRETECH STORAGE SYSTEMS,17.745,1774.5
2019-03-05,2019-03-08,SECOND CLASS,AB-10150,CONSUMER,USA,YONKERS,NY,EAST,OFF-PA-10001878,OFFICE SUPPLIES,PAPER,XEROX 1891,45.9754,195.64
2019-03-07,2019-03-12,STANDARD CLASS,CM-12715,CORPORATE,USA,SEATTLE,WA,WEST,FUR-CH-10004495,FURNITURE,CHAIRS,"GLOBAL LEATHER AND OAK EXECUTIVE CHAIR, BLACK",54.1764,770.5088000000001
2019-03-07,2019-03-08,FIRST CLASS,AB-10015,CONSUMER,USA,SEATTLE,WA,WEST,FUR-CH-10004477,FURNITURE,CHAIRS,"GLOBAL PUSH BUTTON MANAGER'S CHAIR, INDIGO",5.4801,38.96960000000001
2019-03-07,2019-03-11,SECOND CLASS,NP-18685,HOME OFFICE,USA,DES MOINES,WA,WEST,OFF-BI-10004224,OFFICE SUPPLIES,BINDERS,CATALOG BINDERS WITH EXPANDING POSTS,33.64,172.23680000000002
2019-03-10,2019-03-17,STANDARD CLASS,KT-16480,CONSUMER,USA,DENVER,CO,WEST,OFF-AR-10001044,OFFICE SUPPLIES,ART,"BOSTON RANGER #55 PENCIL SHARPENER, BLACK",9.3564,266.1376
2019-03-10,2019-03-14,STANDARD CLASS,SW-20275,CONSUMER,USA,ROYAL OAK,MI,CENTRAL,OFF-PA-10002259,OFFICE SUPPLIES,PAPER,"GEOGRAPHICS NOTE CARDS, BLANK, WHITE, 8 1/2"" X 11""",10.7424,44.76
2019-03-11,2019-03-15,STANDARD CLASS,RB-19435,CONSUMER,USA,ROSEVILLE,CA,WEST,OFF-AR-10001770,OFFICE SUPPLIES,ART,ECONOMY #2 PENCILS,2.0748,23.94
2019-03-11,2019-03-13,SECOND CLASS,FM-14215,CORPORATE,USA,RICHMOND,KY,SOUTH,OFF-AP-10002578,OFFICE SUPPLIES,APPLIANCES,"FELLOWES PREMIER SUPERIOR SURGE SUPPRESSOR, 10-OUTLET, WITH PHONE AND REMOTE",38.1576,440.28
2019-03-11,2019-03-16,SECOND CLASS,CK-12205,CONSUMER,USA,COLUMBUS,OH,EAST,FUR-FU-10003981,FURNITURE,FURNISHINGS,ELDON WAVE DESK ACCESSORIES,2.288,33.28
2019-03-11,2019-03-14,SECOND CLASS,KA-16525,CONSUMER,USA,NEW YORK CITY,NY,EAST,OFF-PA-10002137,OFFICE SUPPLIES,PAPER,"SOUTHWORTH 100% RÉSUMÉ PAPER, 24LB.",49.014,1524.88
2019-03-14,2019-03-19,STANDARD CLASS,CK-12325,HOME OFFICE,USA,CHESAPEAKE,VA,SOUTH,FUR-CH-10003379,FURNITURE,CHAIRS,GLOBAL COMMERCE SERIES HIGH-BACK SWIVEL/TILT CHAIRS,284.98,4559.68
2019-03-14,2019-03-18,STANDARD CLASS,DK-13225,CORPORATE,USA,HUNTINGTON BEACH,CA,WEST,OFF-PA-10001204,OFFICE SUPPLIES,PAPER,XEROX 1972,4.752,21.12
2019-03-14,2019-03-18,STANDARD CLASS,NF-18475,HOME OFFICE,USA,JACKSONVILLE,FL,SOUTH,OFF-PA-10000176,OFFICE SUPPLIES,PAPER,XEROX 1887,31.8696,437.0688
2019-03-14,2019-03-19,STANDARD CLASS,JF-15295,CONSUMER,USA,LOGAN,UT,WEST,OFF-BI-10001617,OFFICE SUPPLIES,BINDERS,GBC WIRE BINDING COMBS,11.1672,105.8816
2019-03-14,2019-03-17,FIRST CLASS,RB-19465,HOME OFFICE,USA,CHICAGO,IL,CENTRAL,TEC-MA-10003626,TECHNOLOGY,MACHINES,HEWLETT-PACKARD DESKJET 6540 COLOR INKJET PRINTER,156.047,804.8739999999999
2019-03-15,2019-03-19,STANDARD CLASS,AS-10240,CONSUMER,USA,TAMPA,FL,SOUTH,OFF-BI-10001543,OFFICE SUPPLIES,BINDERS,GBC VELOBINDER MANUAL BINDING SYSTEM,-31.6712,51.82560000000001
2019-03-16,2019-03-21,SECOND CLASS,KN-16705,HOME OFFICE,USA,RALEIGH,NC,SOUTH,TEC-PH-10002415,TECHNOLOGY,PHONES,POLYCOM VOICESTATION 500 CONFERENCE PHONE,29.495,755.0720000000001
2019-03-17,2019-03-21,STANDARD CLASS,MH-17440,CORPORATE,USA,JACKSON,MS,SOUTH,OFF-BI-10000605,OFFICE SUPPLIES,BINDERS,"ACCO PRESSBOARD COVERS WITH STORAGE HOOKS, 9 1/2"" X 11"", EXECUTIVE RED",5.3721,34.29
2019-03-17,2019-03-20,SECOND CLASS,QJ-19255,CORPORATE,USA,PHILADELPHIA,PA,EAST,OFF-PA-10003641,OFFICE SUPPLIES,PAPER,XEROX 1909,41.1528,607.7951999999999
2019-03-17,2019-03-21,STANDARD CLASS,CP-12340,CORPORATE,USA,NEW YORK CITY,NY,EAST,FUR-TA-10004175,FURNITURE,TABLES,"HON 30"" X 60"" TABLE WITH LOCKING DRAWER",-122.7816,1105.0344
2019-03-17,2019-03-24,STANDARD CLASS,BN-11515,CONSUMER,USA,LAKEVILLE,MN,CENTRAL,OFF-BI-10000136,OFFICE SUPPLIES,BINDERS,AVERY NON-STICK HEAVY DUTY VIEW ROUND LOCKING RING BINDERS,17.2224,215.28000000000003
2019-03-17,2019-03-17,SAME DAY,AZ-10750,CONSUMER,USA,DALLAS,TX,CENTRAL,OFF-AR-10003732,OFFICE SUPPLIES,ART,NEWELL 333,0.3336,7.116800000000001
2019-03-18,2019-03-23,STANDARD CLASS,SM-20320,HOME OFFICE,USA,JACKSONVILLE,FL,SOUTH,TEC-MA-10003626,TECHNOLOGY,MACHINES,HEWLETT-PACKARD DESKJET 6540 COLOR INKJET PRINTER,-16.426,1642.6
2019-03-18,2019-03-24,STANDARD CLASS,SC-20050,HOME OFFICE,USA,BURBANK,CA,WEST,OFF-ST-10000078,OFFICE SUPPLIES,STORAGE,TENNSCO 6- AND 18-COMPARTMENT LOCKERS,334.1142,12993.33
2019-03-18,2019-03-21,SECOND CLASS,EK-13795,HOME OFFICE,USA,SAN FRANCISCO,CA,WEST,FUR-BO-10004218,FURNITURE,BOOKCASES,"BUSH HERITAGE PINE COLLECTION 5-SHELF BOOKCASE, ALBANY PINE FINISH, *SPECIAL ORDER",70.49,10185.804999999998
2019-03-19,2019-03-21,FIRST CLASS,MC-17605,CORPORATE,USA,LAKELAND,FL,SOUTH,TEC-AC-10002647,TECHNOLOGY,ACCESSORIES,"LOGITECH WIRELESS BOOMBOX SPEAKER - PORTABLE - WIRELESS, WIRED",53.2,272.384
2019-03-21,2019-03-25,STANDARD CLASS,KH-16690,CORPORATE,USA,SPRINGFIELD,VA,SOUTH,OFF-BI-10001597,OFFICE SUPPLIES,BINDERS,"WILSON JONES LEDGER-SIZE, PIANO-HINGE BINDER, 2"", BLUE",59.0112,368.82
2019-03-21,2019-03-25,STANDARD CLASS,GM-14440,CONSUMER,USA,KNOXVILLE,TN,SOUTH,FUR-CH-10000422,FURNITURE,CHAIRS,GLOBAL HIGHBACK LEATHER TILTER IN BURGUNDY,-10.9188,524.1024000000001
2019-03-21,2019-03-25,STANDARD CLASS,CB-12025,CONSUMER,USA,HAMILTON,OH,EAST,OFF-AR-10004027,OFFICE SUPPLIES,ART,"BINNEY & SMITH INKTANK ERASABLE DESK HIGHLIGHTER, CHISEL TIP, YELLOW, 12/BOX",1.5876,14.5152
2019-03-21,2019-03-25,STANDARD CLASS,TS-21205,CORPORATE,USA,ASHEVILLE,NC,SOUTH,OFF-ST-10002301,OFFICE SUPPLIES,STORAGE,TENNSCO COMMERCIAL SHELVING,-3.8646,13.0176
2019-03-22,2019-03-26,STANDARD CLASS,BF-11275,CORPORATE,USA,TUCSON,AZ,WEST,FUR-CH-10001482,FURNITURE,CHAIRS,OFFICE STAR - MESH SCREEN BACK CHAIR WITH VINYL SEAT,-35.3646,754.4448
2019-03-22,2019-03-26,STANDARD CLASS,CC-12685,CONSUMER,USA,GREENSBORO,NC,SOUTH,OFF-BI-10002735,OFFICE SUPPLIES,BINDERS,GBC PRESTIGE THERM-A-BIND COVERS,-39.4565,77.19750000000002
2019-03-22,2019-03-22,SAME DAY,VM-21835,CONSUMER,USA,PORTAGE,IN,CENTRAL,OFF-AR-10003478,OFFICE SUPPLIES,ART,"AVERY HI-LITER EVERBOLD PEN STYLE FLUORESCENT HIGHLIGHTERS, 4/PACK",6.512,32.56
2019-03-23,2019-03-26,FIRST CLASS,BG-11740,CONSUMER,USA,DELRAY BEACH,FL,SOUTH,OFF-LA-10004484,OFFICE SUPPLIES,LABELS,AVERY 476,3.2214,23.788800000000005
2019-03-23,2019-03-26,SECOND CLASS,PO-18865,CONSUMER,USA,LOS ANGELES,CA,WEST,TEC-PH-10003484,TECHNOLOGY,PHONES,OOMA TELO VOIP HOME PHONE SYSTEM,37.797,2902.8096
