ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,SEGMENT,COUNTRY,CITY,STATE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PROFIT,NET_SALES,PROFIT_SCALED,NET_SALES_SCALED
2019-01-26,2019-01-31,STANDARD CLASS,SD-20485,HOME OFFICE,USA,ALEXANDRIA,VA,SOUTH,OFF-PA-10000380,OFFICE SUPPLIES,PAPER,"REDIFORM INCOMING/OUTGOING CALL REGISTER, 11"" X 8 1/2"", 100 MESSAGES",8.34,33.36,-0.10290847962946177,-0.2775819049700997
2019-01-26,2019-01-29,FIRST CLASS,CA-11965,CORPORATE,USA,RAPID CITY,SD,CENTRAL,FUR-BO-10004409,FURNITURE,BOOKCASES,"SAFCO VALUE MATE SERIES STEEL BOOKCASES, BAKED ENAMEL FINISH ON STEEL, GRAY",39.7488,283.92,0.03474247335102212,-0.20581731675445955
2019-01-27,2019-02-02,STANDARD CLASS,EJ-13720,CONSUMER,USA,SAN DIEGO,CA,WEST,OFF-ST-10003692,OFFICE SUPPLIES,STORAGE,RECYCLED STEEL PERSONAL FILE FOR HANGING FILE FOLDERS,14.3075,57.23,-0.07675555236350326,-0.2707451364487582
2019-01-30,2019-02-04,STANDARD CLASS,MV-18190,CONSUMER,USA,DETROIT,MI,CENTRAL,OFF-ST-10000991,OFFICE SUPPLIES,STORAGE,SPACE SOLUTIONS HD INDUSTRIAL STEEL SHELVING.,6.8982,459.88,-0.1092272547500414,-0.15541942027288208
2019-01-31,2019-02-02,FIRST CLASS,LC-17050,CONSUMER,USA,MISSION VIEJO,CA,WEST,FUR-BO-10003966,FURNITURE,BOOKCASES,"SAUDER FACETS COLLECTION LIBRARY, SKY ALDER FINISH",3.4196,494.13219999999995,-0.12447242823765989,-0.14560901546573113
2019-02-02,2019-02-06,STANDARD CLASS,CD-12790,HOME OFFICE,USA,SAN DIEGO,CA,WEST,OFF-FA-10001843,OFFICE SUPPLIES,FASTENERS,STAPLES,5.8045,61.75,-0.11402046070744044,-0.2694505326064262
2019-02-03,2019-02-06,SECOND CLASS,TB-21400,CONSUMER,USA,SEATTLE,WA,WEST,OFF-BI-10002827,OFFICE SUPPLIES,BINDERS,AVERY DURABLE POLY BINDERS,4.3134,31.852800000000002,-0.12055529603986957,-0.278013592339826
2019-02-04,2019-02-08,STANDARD CLASS,DB-13270,HOME OFFICE,USA,SAN DIEGO,CA,WEST,OFF-BI-10004230,OFFICE SUPPLIES,BINDERS,GBC RECYCLED GRAIN TEXTURED COVERS,29.0136,198.9504,-0.012305185599211284,-0.2301540359229128
2019-02-04,2019-02-08,SECOND CLASS,MH-17440,CORPORATE,USA,ESCONDIDO,CA,WEST,OFF-BI-10003676,OFFICE SUPPLIES,BINDERS,"GBC STANDARD RECYCLED REPORT COVERS, CLEAR PLASTIC SHEETS",6.0368,27.5968,-0.11300239200130184,-0.2792325821524288
2019-02-06,2019-02-09,FIRST CLASS,ND-18460,CORPORATE,USA,CHESAPEAKE,VA,SOUTH,TEC-PH-10001615,TECHNOLOGY,PHONES,AT&T CL82213,42.0355,724.75,0.0447640734815738,-0.07955620794578834
2019-02-07,2019-02-12,STANDARD CLASS,CK-12760,CORPORATE,USA,LINDEN,NJ,EAST,TEC-AC-10000710,TECHNOLOGY,ACCESSORIES,MAXELL DVD-RAM DISCS,49.6048,807.52,0.07793698548060517,-0.055849491125032694
2019-02-07,2019-02-10,SECOND CLASS,CS-12250,CORPORATE,USA,NEW YORK CITY,NY,EAST,OFF-ST-10001558,OFFICE SUPPLIES,STORAGE,ACCO PERMA 4000 STACKING STORAGE DRAWERS,9.744,259.84,-0.09675536527983367,-0.2127142327994492
2019-02-08,2019-02-09,FIRST CLASS,NM-18445,HOME OFFICE,USA,NORTH LAS VEGAS,NV,WEST,FUR-FU-10002111,FURNITURE,FURNISHINGS,"MASTER CASTER DOOR STOP, LARGE BROWN",5.5328,29.12,-0.11521120228065553,-0.2787963121142341
2019-02-11,2019-02-15,SECOND CLASS,GA-14725,CONSUMER,USA,COLUMBIA,MO,CENTRAL,OFF-ST-10002583,OFFICE SUPPLIES,STORAGE,FELLOWES NEAT IDEAS STORAGE CUBES,2.5984,129.92,-0.1280713865737814,-0.24992550076311448
2019-02-11,2019-02-15,STANDARD CLASS,NF-18385,CONSUMER,USA,CHESAPEAKE,VA,SOUTH,OFF-BI-10003291,OFFICE SUPPLIES,BINDERS,WILSON JONES LEATHER-LIKE BINDERS WITH DUBLLOCK ROUND RINGS,8.2062,34.92,-0.10349486616790923,-0.2771350947944276
2019-02-14,2019-02-18,STANDARD CLASS,ML-17395,CORPORATE,USA,SEATTLE,WA,WEST,OFF-SU-10000157,OFFICE SUPPLIES,SUPPLIES,COMPACT AUTOMATIC ELECTRIC LETTER OPENER,4.7724,477.24,-0.1185437009640296,-0.1504472249846337
2019-02-14,2019-02-19,SECOND CLASS,ST-20530,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-PA-10000466,OFFICE SUPPLIES,PAPER,"MEMO BOOK, 100 MESSAGE CAPACITY, 5 3/8” X 11”",6.066,38.822399999999995,-0.11287442124702184,-0.2760173819549771
2019-02-15,2019-02-19,STANDARD CLASS,BF-11020,CORPORATE,USA,SEATTLE,WA,WEST,OFF-BI-10001031,OFFICE SUPPLIES,BINDERS,PRESSBOARD DATA BINDERS BY WILSON JONES,7.209,85.44,-0.1078651550777733,-0.26266531910535457
2019-02-17,2019-02-24,STANDARD CLASS,DL-13315,CONSUMER,USA,CHICAGO,IL,CENTRAL,OFF-AR-10003631,OFFICE SUPPLIES,ART,STAPLES IN MISC. COLORS,8.8088,607.1296000000001,-0.10085393546485659,-0.11324466409105843
2019-02-18,2019-02-24,STANDARD CLASS,AB-10015,CONSUMER,USA,ARLINGTON,TX,CENTRAL,OFF-ST-10000321,OFFICE SUPPLIES,STORAGE,AKRO STACKING BINS,-2.5248,20.198400000000003,-0.1505241183658147,-0.2813516080522316
2019-02-20,2019-02-26,STANDARD CLASS,LC-16930,CORPORATE,USA,RICHMOND,IN,CENTRAL,TEC-AC-10001284,TECHNOLOGY,ACCESSORIES,ENERMAX BRISKIE RF WIRELESS KEYBOARD AND MOUSE COMBO,22.4316,186.93,-0.04115119603315161,-0.23359688017653385
2019-02-20,2019-02-24,STANDARD CLASS,SR-20740,HOME OFFICE,USA,LOS ANGELES,CA,WEST,OFF-PA-10003363,OFFICE SUPPLIES,PAPER,XEROX 204,6.2208,25.92,-0.11219600094693462,-0.27971284580792044
2019-02-22,2019-02-24,FIRST CLASS,SA-20830,CONSUMER,USA,MORENO VALLEY,CA,WEST,OFF-PA-10001800,OFFICE SUPPLIES,PAPER,XEROX 220,9.3312,58.32000000000001,-0.0985644860800662,-0.27043294215934627
2019-02-24,2019-03-02,STANDARD CLASS,JH-15430,CONSUMER,USA,MEDFORD,OR,WEST,OFF-PA-10000174,OFFICE SUPPLIES,PAPER,"MESSAGE BOOK, WIREBOUND, FOUR 5 1/2"" X 4"" FORMS/PG., 200 DUPL. SETS/BOOK",11.1024,105.2672,-0.09080209566976612,-0.256986476339274
2019-02-27,2019-03-03,FIRST CLASS,JS-16030,CONSUMER,USA,COLUMBUS,OH,EAST,OFF-AR-10003560,OFFICE SUPPLIES,ART,ZEBRA ZAZZLE FLUORESCENT HIGHLIGHTERS,3.4048,62.2592,-0.12453729012681551,-0.2693046891824184
2019-03-01,2019-03-06,SECOND CLASS,DB-13060,CONSUMER,USA,SEATTLE,WA,WEST,FUR-CH-10004063,FURNITURE,CHAIRS,GLOBAL DELUXE HIGH-BACK MANAGER'S CHAIR,51.4764,732.1088,0.08613938492274476,-0.07744852415044491
2019-03-02,2019-03-08,STANDARD CLASS,KN-16705,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,OFF-PA-10000587,OFFICE SUPPLIES,PAPER,"ARRAY PARCHMENT PAPER, ASSORTED COLORS",17.472,182.0,-0.06288694099641055,-0.23500891489836936
2019-03-02,2019-03-06,STANDARD CLASS,NH-18610,CORPORATE,USA,PHILADELPHIA,PA,EAST,TEC-AC-10004353,TECHNOLOGY,ACCESSORIES,HYPERCOM P1300 PINPAD,32.13,362.88,0.0013526246281256487,-0.18320184786274918
2019-03-03,2019-03-07,SECOND CLASS,AJ-10945,CONSUMER,USA,WILMINGTON,NC,SOUTH,OFF-AR-10003560,OFFICE SUPPLIES,ART,ZEBRA ZAZZLE FLUORESCENT HIGHLIGHTERS,3.4048,62.2592,-0.12453729012681551,-0.2693046891824184
2019-03-04,2019-03-09,STANDARD CLASS,SC-20095,CONSUMER,USA,MARGATE,FL,SOUTH,OFF-AR-10001374,OFFICE SUPPLIES,ART,"BIC BRITE LINER HIGHLIGHTERS, CHISEL TIP",2.3328,37.3248,-0.12923539453052016,-0.2764463197236223
2019-03-05,2019-03-08,SECOND CLASS,AB-10150,CONSUMER,USA,YONKERS,NY,EAST,OFF-PA-10001878,OFFICE SUPPLIES,PAPER,XEROX 1891,45.9754,195.64,0.06203092193321184,-0.23110219002903135
2019-03-07,2019-03-12,STANDARD CLASS,CM-12715,CORPORATE,USA,SEATTLE,WA,WEST,FUR-CH-10004495,FURNITURE,CHAIRS,"GLOBAL LEATHER AND OAK EXECUTIVE CHAIR, BLACK",54.1764,770.5088000000001,0.09797229713356806,-0.06645011982620884
2019-03-07,2019-03-08,FIRST CLASS,AB-10015,CONSUMER,USA,SEATTLE,WA,WEST,FUR-CH-10004477,FURNITURE,CHAIRS,"GLOBAL PUSH BUTTON MANAGER'S CHAIR, INDIGO",5.4801,38.96960000000001,-0.11544216319677048,-0.27597522140506753
2019-03-07,2019-03-11,SECOND CLASS,NP-18685,HOME OFFICE,USA,DES MOINES,WA,WEST,OFF-BI-10004224,OFFICE SUPPLIES,BINDERS,CATALOG BINDERS WITH EXPANDING POSTS,33.64,172.23680000000002,0.007970290346030515,-0.23780525919780637
2019-03-10,2019-03-17,STANDARD CLASS,KT-16480,CONSUMER,USA,DENVER,CO,WEST,OFF-AR-10001044,OFFICE SUPPLIES,ART,"BOSTON RANGER #55 PENCIL SHARPENER, BLACK",9.3564,266.1376,-0.0984540455660985,-0.2109104944902745
2019-03-10,2019-03-14,STANDARD CLASS,SW-20275,CONSUMER,USA,ROYAL OAK,MI,CENTRAL,OFF-PA-10002259,OFFICE SUPPLIES,PAPER,"GEOGRAPHICS NOTE CARDS, BLANK, WHITE, 8 1/2"" X 11""",10.7424,44.76,-0.0923798172978759,-0.2743167536863421
2019-03-11,2019-03-15,STANDARD CLASS,RB-19435,CONSUMER,USA,ROSEVILLE,CA,WEST,OFF-AR-10001770,OFFICE SUPPLIES,ART,ECONOMY #2 PENCILS,2.0748,23.94,-0.13036609503066549,-0.2802799510308888
2019-03-11,2019-03-13,SECOND CLASS,FM-14215,CORPORATE,USA,RICHMOND,KY,SOUTH,OFF-AP-10002578,OFFICE SUPPLIES,APPLIANCES,"FELLOWES PREMIER SUPERIOR SURGE SUPPRESSOR, 10-OUTLET, WITH PHONE AND REMOTE",38.1576,440.28,0.027768943754776922,-0.16103318914671091
2019-03-11,2019-03-16,SECOND CLASS,CK-12205,CONSUMER,USA,COLUMBUS,OH,EAST,FUR-FU-10003981,FURNITURE,FURNISHINGS,ELDON WAVE DESK ACCESSORIES,2.288,33.28,-0.12943173322201826,-0.2776048183124419
2019-03-14,2019-03-18,STANDARD CLASS,DK-13225,CORPORATE,USA,HUNTINGTON BEACH,CA,WEST,OFF-PA-10001204,OFFICE SUPPLIES,PAPER,XEROX 1972,4.752,21.12,-0.1186331051896225,-0.2810876463484499
2019-03-14,2019-03-18,STANDARD CLASS,NF-18475,HOME OFFICE,USA,JACKSONVILLE,FL,SOUTH,OFF-PA-10000176,OFFICE SUPPLIES,PAPER,XEROX 1887,31.8696,437.0688,0.00021140598379289555,-0.16195293070832514
2019-03-14,2019-03-19,STANDARD CLASS,JF-15295,CONSUMER,USA,LOGAN,UT,WEST,OFF-BI-10001617,OFFICE SUPPLIES,BINDERS,GBC WIRE BINDING COMBS,11.1672,105.8816,-0.09051810577670637,-0.25681050187008625
2019-03-16,2019-03-21,SECOND CLASS,KN-16705,HOME OFFICE,USA,RALEIGH,NC,SOUTH,TEC-PH-10002415,TECHNOLOGY,PHONES,POLYCOM VOICESTATION 500 CONFERENCE PHONE,29.495,755.0720000000001,-0.010195421177622269,-0.07087147836455171
2019-03-17,2019-03-21,STANDARD CLASS,MH-17440,CORPORATE,USA,JACKSON,MS,SOUTH,OFF-BI-10000605,OFFICE SUPPLIES,BINDERS,"ACCO PRESSBOARD COVERS WITH STORAGE HOOKS, 9 1/2"" X 11"", EXECUTIVE RED",5.3721,34.29,-0.11591547968520341,-0.2773155373653721
2019-03-17,2019-03-20,SECOND CLASS,QJ-19255,CORPORATE,USA,PHILADELPHIA,PA,EAST,OFF-PA-10003641,OFFICE SUPPLIES,PAPER,XEROX 1909,41.1528,607.7951999999999,0.04089558770065021,-0.11305402508277174
2019-03-17,2019-03-24,STANDARD CLASS,BN-11515,CONSUMER,USA,LAKEVILLE,MN,CENTRAL,OFF-BI-10000136,OFFICE SUPPLIES,BINDERS,AVERY NON-STICK HEAVY DUTY VIEW ROUND LOCKING RING BINDERS,17.2224,215.28000000000003,-0.0639808279919,-0.22547696448403143
2019-03-19,2019-03-21,FIRST CLASS,MC-17605,CORPORATE,USA,LAKELAND,FL,SOUTH,TEC-AC-10002647,TECHNOLOGY,ACCESSORIES,"LOGITECH WIRELESS BOOMBOX SPEAKER - PORTABLE - WIRELESS, WIRED",53.2,272.384,0.09369316547332811,-0.20912142072019876
2019-03-22,2019-03-22,SAME DAY,VM-21835,CONSUMER,USA,PORTAGE,IN,CENTRAL,OFF-AR-10003478,OFFICE SUPPLIES,ART,"AVERY HI-LITER EVERBOLD PEN STYLE FLUORESCENT HIGHLIGHTERS, 4/PACK",6.512,32.56,-0.11091979945219693,-0.2778110383935213
2019-03-23,2019-03-26,FIRST CLASS,BG-11740,CONSUMER,USA,DELRAY BEACH,FL,SOUTH,OFF-LA-10004484,OFFICE SUPPLIES,LABELS,AVERY 476,3.2214,23.788800000000005,-0.12534105164513587,-0.2803232572479155
2019-03-24,2019-03-29,SECOND CLASS,MS-17710,CONSUMER,USA,FRESNO,CA,WEST,FUR-FU-10002813,FURNITURE,FURNISHINGS,"DAX CONTEMPORARY WOOD FRAME WITH SILVER METAL MAT, DESKTOP, 11 X 14 SIZE",14.5728,80.96,-0.07559285917478792,-0.2639484662765154
2019-03-24,2019-03-28,STANDARD CLASS,CD-11920,CONSUMER,USA,NEW YORK CITY,NY,EAST,OFF-PA-10004948,OFFICE SUPPLIES,PAPER,XEROX 190,11.703,124.5,-0.08816993008686966,-0.2514778797067957
2019-03-26,2019-03-30,SECOND CLASS,CS-12505,CONSUMER,USA,POMONA,CA,WEST,OFF-LA-10001982,OFFICE SUPPLIES,LABELS,SMEAD ALPHA-Z COLOR-CODED NAME LABELS FIRST LETTER STARTER SET,9.0,93.75,-0.10001598997792718,-0.2602851956695629
2019-03-26,2019-03-30,STANDARD CLASS,JD-15895,CORPORATE,USA,LOS ANGELES,CA,WEST,TEC-AC-10002323,TECHNOLOGY,ACCESSORIES,SANDISK ULTRA 32 GB MICROSDHC CLASS 10 MEMORY CARD,8.619,198.89999999999998,-0.10168574536767669,-0.2301684713285884
2019-03-28,2019-04-01,STANDARD CLASS,DR-12940,HOME OFFICE,USA,ALBUQUERQUE,NM,WEST,TEC-PH-10003273,TECHNOLOGY,PHONES,AT&T TR1909W,22.6782,725.7024,-0.04007045671789641,-0.07928342460520495
2019-03-30,2019-04-05,STANDARD CLASS,NC-18340,CONSUMER,USA,APPLE VALLEY,MN,CENTRAL,OFF-ST-10001511,OFFICE SUPPLIES,STORAGE,SPACE SOLUTIONS COMMERCIAL STEEL SHELVING,6.465,258.6,-0.11112577977586682,-0.21306938960575267
2019-03-30,2019-04-04,STANDARD CLASS,DL-13600,CORPORATE,USA,SEATTLE,WA,WEST,OFF-ST-10002957,OFFICE SUPPLIES,STORAGE,STERILITE SHOW OFFS STORAGE CONTAINERS,0.0,47.519999999999996,-0.13945903068067148,-0.27352624337553766
2019-03-30,2019-03-31,FIRST CLASS,SG-20890,CORPORATE,USA,NEW YORK CITY,NY,EAST,OFF-AR-10001231,OFFICE SUPPLIES,ART,"SANFORD EARTHWRITE RECYCLED PENCILS, MEDIUM SOFT, #2",2.94,52.5,-0.12657430405110834,-0.2720998878147383
2019-03-30,2019-04-03,STANDARD CLASS,KM-16720,CONSUMER,USA,LONG BEACH,NY,EAST,OFF-AR-10001915,OFFICE SUPPLIES,ART,PEEL-OFF CHINA MARKERS,20.853,248.25,-0.04806950537241295,-0.21603380327126942
2019-03-31,2019-04-04,STANDARD CLASS,DD-13570,CONSUMER,USA,CHICAGO,IL,CENTRAL,TEC-AC-10004901,TECHNOLOGY,ACCESSORIES,KENSINGTON SLIMBLADE NOTEBOOK WIRELESS MOUSE WITH NANO RECEIVER,13.9972,127.9744,-0.07811546075573232,-0.2504827532488758
2019-03-31,2019-04-05,STANDARD CLASS,AA-10315,CONSUMER,USA,SAN FRANCISCO,CA,WEST,OFF-AP-10002765,OFFICE SUPPLIES,APPLIANCES,FELLOWES ADVANCED COMPUTER SERIES SURGE PROTECTORS,14.8344,105.96,-0.0744463814583615,-0.25678804679459094
2019-04-01,2019-04-06,SECOND CLASS,KM-16720,CONSUMER,USA,VALLEJO,CA,WEST,OFF-BI-10000042,OFFICE SUPPLIES,BINDERS,"PRESSBOARD DATA BINDER, CRIMSON, 12"" X 8 1/2""",5.5536,54.6816,-0.1151200450310314,-0.2714750409690676
2019-04-02,2019-04-08,STANDARD CLASS,AH-10690,CORPORATE,USA,VIRGINIA BEACH,VA,SOUTH,FUR-FU-10003192,FURNITURE,FURNISHINGS,LUXO ADJUSTABLE TASK CLAMP LAMP,46.1968,355.36,0.06300122073449936,-0.18535570204291205
2019-04-02,2019-04-08,STANDARD CLASS,RD-19585,CONSUMER,USA,ATHENS,GA,SOUTH,OFF-PA-10004248,OFFICE SUPPLIES,PAPER,XEROX 1990,7.128,47.519999999999996,-0.108220142444098,-0.27352624337553766
2019-04-02,2019-04-06,SECOND CLASS,SC-20020,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-PA-10002986,OFFICE SUPPLIES,PAPER,XEROX 1898,9.352,106.88,-0.09847332883044208,-0.2565245433576561
2019-04-03,2019-04-08,STANDARD CLASS,KE-16420,CORPORATE,USA,LOS ANGELES,CA,WEST,OFF-EN-10001415,OFFICE SUPPLIES,ENVELOPES,STAPLE ENVELOPE,5.58,22.32,-0.11500434544497001,-0.28074394621331755
2019-04-04,2019-04-08,STANDARD CLASS,KB-16585,CORPORATE,USA,LAFAYETTE,LA,SOUTH,OFF-PA-10003797,OFFICE SUPPLIES,PAPER,XEROX 209,9.3312,58.32000000000001,-0.0985644860800662,-0.27043294215934627
2019-04-04,2019-04-09,STANDARD CLASS,MS-17710,CONSUMER,USA,DETROIT,MI,CENTRAL,OFF-AR-10001955,OFFICE SUPPLIES,ART,NEWELL 319,23.808,317.44,-0.035119040341678585,-0.19621662631309517
2019-04-04,2019-04-09,STANDARD CLASS,PK-18910,HOME OFFICE,USA,SAN FRANCISCO,CA,WEST,OFF-LA-10001641,OFFICE SUPPLIES,LABELS,AVERY 518,9.072,113.39999999999999,-0.09970044565230524,-0.2546571059567702
2019-04-05,2019-04-07,FIRST CLASS,JG-15805,CORPORATE,USA,DECATUR,IL,CENTRAL,OFF-ST-10001031,OFFICE SUPPLIES,STORAGE,ADJUSTABLE PERSONAL FILE TOTE,3.9072,166.7072,-0.12233549194358675,-0.23938902942049636
2019-04-05,2019-04-09,STANDARD CLASS,RP-19855,CORPORATE,USA,RICHMOND,KY,SOUTH,OFF-BI-10002852,OFFICE SUPPLIES,BINDERS,IBICO STANDARD TRANSPARENT COVERS,56.5264,807.52,0.1082713133170624,-0.055849491125032694
2019-04-05,2019-04-09,SECOND CLASS,GM-14695,CORPORATE,USA,ALEXANDRIA,VA,SOUTH,OFF-AR-10004757,OFFICE SUPPLIES,ART,CRAYOLA COLORED PENCILS,7.5768,160.72,-0.10625324948105447,-0.24110386396138347
2019-04-05,2019-04-07,SECOND CLASS,RD-19900,CONSUMER,USA,DEARBORN HEIGHTS,MI,CENTRAL,OFF-AR-10002952,OFFICE SUPPLIES,ART,STANLEY CONTEMPORARY BATTERY PENCIL SHARPENERS,7.476,53.4,-0.10669501153692522,-0.27184211271338904
2019-04-05,2019-04-07,FIRST CLASS,TH-21550,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,OFF-PA-10004071,OFFICE SUPPLIES,PAPER,"EATON PREMIUM CONTINUOUS-FEED PAPER, 25% COTTON, LETTER SIZE, WHITE, 1000 SHTS/BOX",26.6304,55.48,-0.022749702777297966,-0.2712463658124929
2019-04-06,2019-04-10,SECOND CLASS,FH-14275,CORPORATE,USA,LOS ANGELES,CA,WEST,OFF-BI-10002794,OFFICE SUPPLIES,BINDERS,"AVERY TRAPEZOID RING BINDER, 3"" CAPACITY, BLACK, 1040 SHEETS",23.7684,104.9088,-0.03529258972077066,-0.25708912811296686
2019-04-06,2019-04-12,STANDARD CLASS,SC-20260,CORPORATE,USA,SEATTLE,WA,WEST,TEC-AC-10003441,TECHNOLOGY,ACCESSORIES,KINGSTON DIGITAL DATATRAVELER 32GB USB 2.0,2.034,67.8,-0.13054490348185127,-0.2677177110918005
2019-04-06,2019-04-12,STANDARD CLASS,AY-10555,CORPORATE,USA,LOS ANGELES,CA,WEST,FUR-FU-10000747,FURNITURE,FURNISHINGS,TENEX B1-RE SERIES CHAIR MATS FOR LOW PILE CARPETS,15.6332,183.92,-0.07094559246798904,-0.23445899468215756
2019-04-07,2019-04-07,SAME DAY,VM-21685,HOME OFFICE,USA,MARIETTA,GA,SOUTH,TEC-PH-10004922,TECHNOLOGY,PHONES,RCA VISYS INTEGRATED PBX 8-LINE ROUTER,50.2425,602.91,0.08073174404239852,-0.11445322833289562
2019-04-11,2019-04-18,STANDARD CLASS,MM-18055,CONSUMER,USA,GREAT FALLS,MT,WEST,OFF-ST-10000876,OFFICE SUPPLIES,STORAGE,ELDON SIMPLEFILE BOX OFFICE,24.3824,609.56,-0.032601697832827875,-0.1125485567507037
2019-04-12,2019-04-18,STANDARD CLASS,EH-13765,CORPORATE,USA,LODI,CA,WEST,OFF-AR-10002987,OFFICE SUPPLIES,ART,PRISMACOLOR COLOR PENCIL SET,16.2688,79.36,-0.06816003728235967,-0.2644067331233586
2019-04-12,2019-04-17,STANDARD CLASS,SV-20785,CONSUMER,USA,BLOOMINGTON,IN,CENTRAL,OFF-PA-10000289,OFFICE SUPPLIES,PAPER,XEROX 213,15.552,162.0,-0.07130145634632934,-0.24073725048390895
2019-04-13,2019-04-18,STANDARD CLASS,BF-11170,HOME OFFICE,USA,BALTIMORE,MD,EAST,OFF-LA-10002368,OFFICE SUPPLIES,LABELS,AVERY 479,3.6018,23.490000000000002,-0.12367392579143321,-0.28040883858156346
2019-04-13,2019-04-17,SECOND CLASS,JD-15895,CORPORATE,USA,PHILADELPHIA,PA,EAST,OFF-AR-10000122,OFFICE SUPPLIES,ART,NEWELL 314,1.116,57.13920000000001,-0.13456809363353117,-0.27077114309231654
